'TWTR', datetime.datetime(2012, 10, 23), datetime.datetime(2012, 10, 25)
'FB', datetime.datetime(2012, 10, 23), datetime.datetime(2012, 10, 25)
'FB', datetime.datetime(2012, 10, 22), datetime.datetime(2012, 10, 24)
'GPS', datetime.datetime(2012, 10, 22), datetime.datetime(2012, 10, 24)
'EBAY', datetime.datetime(2012, 10, 22), datetime.datetime(2012, 10, 24)
'TWTR', datetime.datetime(2012, 10, 21), datetime.datetime(2012, 10, 23)
'TWTR', datetime.datetime(2012, 10, 20), datetime.datetime(2012, 10, 22)
'AAPL', datetime.datetime(2012, 10, 20), datetime.datetime(2012, 10, 22)
'FB', datetime.datetime(2012, 10, 19), datetime.datetime(2012, 10, 21)
'FB', datetime.datetime(2012, 10, 18), datetime.datetime(2012, 10, 20)
'TWTR', datetime.datetime(2012, 10, 17), datetime.datetime(2012, 10, 19)
'TWTR', datetime.datetime(2012, 10, 17), datetime.datetime(2012, 10, 19)
'FB', datetime.datetime(2012, 10, 17), datetime.datetime(2012, 10, 19)
'EBAY', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'AAPL', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'EBAY', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'DOW', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'GPS', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'TWTR', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'AAPL', datetime.datetime(2012, 10, 15), datetime.datetime(2012, 10, 17)
'FB', datetime.datetime(2012, 10, 14), datetime.datetime(2012, 10, 16)
'TWTR', datetime.datetime(2012, 10, 14), datetime.datetime(2012, 10, 16)
'AAPL', datetime.datetime(2012, 10, 13), datetime.datetime(2012, 10, 15)
'FB', datetime.datetime(2012, 10, 13), datetime.datetime(2012, 10, 15)
'AAPL', datetime.datetime(2012, 10, 13), datetime.datetime(2012, 10, 15)
'AAPL', datetime.datetime(2012, 10, 13), datetime.datetime(2012, 10, 15)
'KEY', datetime.datetime(2012, 10, 12), datetime.datetime(2012, 10, 14)
'WMT', datetime.datetime(2012, 10, 12), datetime.datetime(2012, 10, 14)
'AAPL', datetime.datetime(2012, 10, 12), datetime.datetime(2012, 10, 14)
'AMZN', datetime.datetime(2012, 10, 12), datetime.datetime(2012, 10, 14)
'DISCK', datetime.datetime(2012, 10, 11), datetime.datetime(2012, 10, 13)
'WMT', datetime.datetime(2012, 10, 10), datetime.datetime(2012, 10, 12)
'TWTR', datetime.datetime(2012, 10, 10), datetime.datetime(2012, 10, 12)
'TWTR', datetime.datetime(2012, 10, 10), datetime.datetime(2012, 10, 12)
'FB', datetime.datetime(2012, 10, 9), datetime.datetime(2012, 10, 11)
'FB', datetime.datetime(2012, 10, 9), datetime.datetime(2012, 10, 11)
'FB', datetime.datetime(2012, 10, 9), datetime.datetime(2012, 10, 11)
'EBAY', datetime.datetime(2012, 10, 8), datetime.datetime(2012, 10, 10)
'TWTR', datetime.datetime(2012, 10, 8), datetime.datetime(2012, 10, 10)
'TWTR', datetime.datetime(2012, 10, 7), datetime.datetime(2012, 10, 9)
'AAPL', datetime.datetime(2012, 10, 6), datetime.datetime(2012, 10, 8)
'WMB', datetime.datetime(2012, 10, 6), datetime.datetime(2012, 10, 8)
'FB', datetime.datetime(2012, 10, 5), datetime.datetime(2012, 10, 7)
'TWTR', datetime.datetime(2012, 10, 5), datetime.datetime(2012, 10, 7)
'FB', datetime.datetime(2012, 10, 5), datetime.datetime(2012, 10, 7)
'FB', datetime.datetime(2012, 10, 4), datetime.datetime(2012, 10, 6)
'PFE', datetime.datetime(2012, 10, 3), datetime.datetime(2012, 10, 5)
'WMT', datetime.datetime(2012, 10, 2), datetime.datetime(2012, 10, 4)
'TWTR', datetime.datetime(2012, 10, 2), datetime.datetime(2012, 10, 4)
'EBAY', datetime.datetime(2012, 10, 2), datetime.datetime(2012, 10, 4)
'EBAY', datetime.datetime(2012, 10, 2), datetime.datetime(2012, 10, 4)
'EBAY', datetime.datetime(2012, 10, 1), datetime.datetime(2012, 10, 3)
'FB', datetime.datetime(2012, 10, 1), datetime.datetime(2012, 10, 3)
'TWTR', datetime.datetime(2012, 9, 30), datetime.datetime(2012, 10, 2)
'AMZN', datetime.datetime(2012, 9, 29), datetime.datetime(2012, 10, 1)
'FB', datetime.datetime(2012, 9, 28), datetime.datetime(2012, 9, 30)
'TWTR', datetime.datetime(2012, 9, 27), datetime.datetime(2012, 9, 29)
'AAPL', datetime.datetime(2012, 9, 27), datetime.datetime(2012, 9, 29)
'WMB', datetime.datetime(2012, 9, 27), datetime.datetime(2012, 9, 29)
'FB', datetime.datetime(2012, 9, 26), datetime.datetime(2012, 9, 28)
'AAPL', datetime.datetime(2012, 9, 26), datetime.datetime(2012, 9, 28)
'AMZN', datetime.datetime(2012, 9, 26), datetime.datetime(2012, 9, 28)
'TWTR', datetime.datetime(2012, 9, 26), datetime.datetime(2012, 9, 28)
'FB', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'FB', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'AAPL', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'WMB', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'TWTR', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'TWTR', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'FB', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
'EBAY', datetime.datetime(2012, 9, 25), datetime.datetime(2012, 9, 27)
